"stockcode","description","units_sold","revenue"
"84828","JUNGLE POPSICLES ICE LOLLY MOULDS",960,1338.87
"84830","LARGE ENGLISH ARBORETUM",113,1195.15
"84832","ZINC WILLIE WINKIE  CANDLE STICK",6794,6134.70
"84836","ZINC METAL HEART DECORATION",19847,24289.33
"84837","WHITE SWEETHEARTS CABINET 4 DRAWERS",251,3210.04
"84838","ANT WHITE HIGH RISE BIRD BOX",50,312.50
"84839","SWEETHEART KEY CABINET",1523,8747.05
"84840","SWEETHEART CARRY-ALL BASKET",282,2430.82
"84842","HELLO SAILOR BATHROOM SET",1505,744.15
"84843","WHITE SOAP RACK WITH 2 BOTTLES",280,1731.06
"84845A","HOLLYHOCK SQUARE HANDY TIN",1,1.25
"84845C","CARNATION SQUARE HANDY TIN",42,52.50
"84845D","GERANIUM SQUARE HANDY TIN",41,51.25
"84846A","SCENTED CANDLE IN DIGITALIS TIN",251,567.55
"84847","FLORAL BATHROOM SET",2330,1149.73
"84849A","HELLO SAILOR BLUE SOAP HOLDER",470,833.57
"84849B","FAIRY SOAP SOAP HOLDER",1936,3244.14
"84849D","HOT BATHS SOAP HOLDER",1558,2618.27
"84854","GIRLY PINK TOOL SET",381,2079.47
"84855","BLOKEY SILVER TOOL SET",36,196.70
"84856L","LARGE TAHITI BEACH BAG",238,1492.28
"84856S","SMALL TAHITI BEACH BAG",467,1877.21
"84857A","SILVER MONTE CARLO HANDBAG",8,68.00
"84857B","BLUE MONTE CARLO HANDBAG",24,46.80
"84857C","PINK MONTE CARLO HANDBAG",197,445.03
"84858A","NATURAL RIVIERA HANDBAG",53,128.83
"84858B","BLUE RIVIERA HANDBAG",326,431.00
"84858C","PINK RIVIERA HANDBAG",347,611.07
"84859A","SILVER DISCO HANDBAG",293,613.53
"84859B","BLUE DISCO HANDBAG",282,433.46
"84859C","PINK DISCO HANDBAG",304,552.72
"84864A","PINK PAISLEY PHOTO ALBUM",7,67.71
"84865","NEW BAROQUE BLACK PHOTO ALBUM",77,639.42
"84867a","PINK BABY GIRLS PHOTO ALBUM",1,13.57
"84867A","PINK BABY GIRLS PHOTO ALBUM",16,105.82
"84867b","BLUE BABY BOY'S PHOTO ALBUM",2,27.14
"84868A","PINK BABY GIRL'S MEMORY BOX",2,13.90
"84868B","BLUE BABY BOY'S MEMORY BOX",5,34.75
"84869","CANDY BUTTON PHOTO ALBUM",302,703.54
"84870B","BLUE GEISHA GIRL ",90,322.61
"84870C","GREEN GEISHA GIRL ",93,330.36
"84872a","TEATIME FUNKY FLOWER BACKPACK FOR 2",58,636.47
"84872A","TEATIME FUNKY FLOWER BACKPACK FOR 2",177,1983.54
"84873a","FUNKY FLOWER PICNIC BAG FOR 4",88,973.36
"84873A","FUNKY FLOWER PICNIC BAG FOR 4",32,394.15
"84874B","BLUE TRAVEL FIRST AID KIT",86,141.76
"84875A","PINK SQUARE COMPACT MIRROR",16,60.00
"84875B","GREEN SQUARE COMPACT MIRROR",373,511.01
"84875D","BLUE SQUARE COMPACT MIRROR",371,483.75
"84876B","GREEN HEART COMPACT MIRROR",344,488.31
"84876C","SILVER HEART COMPACT MIRROR",7,26.25
"84876D","BLUE HEART COMPACT MIRROR",331,600.52
"84877A","PINK ROUND COMPACT MIRROR",74,185.66
"84877B","GREEN ROUND COMPACT MIRROR",291,504.43
"84877D","BLUE ROUND COMPACT MIRROR",160,371.85
"84879","ASSORTED COLOUR BIRD ORNAMENT",80082,129324.49
"84880","WHITE WIRE EGG HOLDER",1729,9894.99
"84881","BLUE WIRE SPIRAL CANDLE HOLDER",52,342.94
"84882","GREEN WIRE STANDING CANDLE HOLDER",66,289.43
"84884a","ANT WHITE WIRE HEART SPIRAL",49,410.89
"84884A","ANT WHITE WIRE HEART SPIRAL",1708,6248.28
"84886","BLUE METAL WALL SHELF",12,119.40
"84891B","GREEN WIRE GOBLET CANDLEHOLDER",11,87.45
"84893","ANT WHITE IRON BASKET",33,186.35
"84898F","YELLOW FLOWERS FELT HANDBAG KIT",165,352.75
"84899E","YELLOW + BROWN BEAR FELT PURSE KIT",39,52.65
"84899E","YELLOW BROWN BEAR FELT PURSE KIT",14,21.28
"84899F","YELLOW PURPLE DAISY FELT PURSE KIT",121,192.17
"84901","BLACK FACE LAMB WITH PANTS",123,471.13
"84902","PINK KNITTED COW STUFFED TOY",84,326.33
"84905","PINK BUTTERFLY C/COVER ",10,70.82
"84905","PINK BUTTERFLY CUSHION COVER ",259,937.09
"84906","PINK B'FLY C/COVER W BOBBLES",43,262.62
"84906","PINK BUTTERFLY CUSHION COVER",23,44.85
"84907","PINK YELLOW PATCH CUSHION COVER",383,916.83
"84907","PINK/YELLOW PATCH CUSHION COVER",8,82.34
"84908A","PINK 5 PATCH FLOWER CUSHION COVER ",432,1045.16
"84908B","BLUE 5 PATCH FLOWER CUSHION COVER",435,1052.29
"84909A","PINK PAISLEY QUILT ",209,2797.55
"84910A","PINK PAISLEY CUSHION COVER ",432,1230.39
"84912a","PINK ROSE WASHBAG",2,15.56
"84912A","PINK ROSE WASHBAG",1094,2996.44
"84912B","GREEN ROSE WASHBAG",1125,3072.64
"84913A","SOFT PINK ROSE TOWEL ",608,2211.54
"84913B","MINT GREEN ROSE TOWEL",420,1593.29
"84914A","PINK ROSE PICNIC RUG",6,155.70
"84915","HAND TOWEL PINK FLOWER AND DAISY",234,459.56
"84916","HAND TOWEL PALE BLUE W FLOWERS",261,646.43
"84917","WHITE HAND TOWEL WITH BUTTERFLY",229,686.03
"84918","CREAM C/COVER W YELLOW/GREEN FLOWER",10,69.50
"84918","CREAM CUSHION COVER WITH FLOWERS",198,925.62
"84919","BLUE CUSHION COVER WITH FLOWER",283,1545.53
"84919","L BLUE C/COVER W PINK/YELLOW FLOWER",8,74.31
"84920","PINK FLOWER FABRIC PONY",201,805.38
"84921","CREAM AND PINK FLOWERS PONY ",27,101.25
"84922","PINK BUTTERFLY WASHBAG",342,808.22
"84923","PINK BUTTERFLY HANDBAG W BOBBLES",234,1017.64
"84924A","WAKE UP COCKEREL CALENDAR SIGN ",133,571.00
"84924D","LA PALMIERA METAL SIGN CALENDAR",764,272.61
"84924F","PSYCHEDELIC METAL SIGN CALENDAR",975,274.55
"84925A","WAKE UP COCKEREL WALL THERMOMETER",179,339.29
"84925C","FAIRY CAKES  WALL THERMOMETER",28,71.40
"84925D","LA PALMIERA WALL THERMOMETER",452,677.45
"84925E","FLOWERS WALL THERMOMETER",75,130.05
"84925F","PSYCHEDELIC WALL THERMOMETER",714,873.11
"84926A","WAKE UP COCKEREL TILE COASTER",664,293.08
"84926B","SCOTTS ROSES TILE COASTER",54,67.50
"84926C","FAIRY CAKES TILE COASTER",138,189.60
"84926D","LA PALMIERA TILE COASTER",773,365.35
"84926E","FLOWERS TILE COASTER",1081,471.57
"84926F","PSYCHEDELIC TILE COASTER",484,277.90
"84927A","WAKE UP COCKEREL TILE HOOK",226,157.61
"84927D","LA PALMIERA TILE HOOK",953,211.29
"84927E","FLOWERS TILE HOOK",494,224.31
"84927F","PSYCHEDELIC TILE HOOK",335,273.32
"84929","ASSTD FRUIT+FLOWERS FRIDGE MAGNETS",3096,1007.52
"84931A","PINK SCOTTIE DOG W FLOWER PATTERN",204,513.69
"84931B","BLUE SCOTTIE DOG W FLOWER PATTERN",274,688.73
"84932A","SMALL GREEN PEONY FOLDING STOOL",262,602.60
"84932B","SMALL PINK PEONY FOLDING STOOL",189,401.30
"84932C","SMALL ORIENTAL BLUE FOLDING STOOL",282,615.40
"84932D","SMALL ORIENTAL RED FOLDING STOOL",239,574.71
"84933A","LARGE GREEN PEONY FOLDING STOOL",131,314.35
"84933B","LARGE PINK PEONY FOLDING STOOL",136,309.15
"84933C","LARGE BLUE ORIENTAL FOLDING STOOL",136,317.00
"84934","ASSTD DESIGN POP ART SLIM PEN",687,586.50
"84937","KASHMIR FOLKART TUMBLERS",2542,5394.54
"84942","KASHMIR FOLKART HEART DISHES",3,5.07
"84944","SET OF 6 KASHMIR FOLKART BAUBLES",1135,3153.88
"84945","MULTI COLOUR SILVER T-LIGHT HOLDER",21605,17746.71
"84946","ANTIQUE SILVER T-LIGHT GLASS",14664,19381.62
"84946","ANTIQUE SILVER TEA GLASS ETCHED",22032,29828.78
"84947","ANTIQUE SILVER TEA GLASS ENGRAVED",15810,18744.17
"84948","SILVER HANGING T-LIGHT HOLDER DOME",273,459.21
"84949","SILVER HANGING T-LIGHT HOLDER",11945,19015.80
"84950","ASSORTED COLOUR T-LIGHT HOLDER",6041,4199.27
"84951A","S/4 PISTACHIO LOVEBIRD COASTERS",106,166.10
"84951A","SET OF 4 PISTACHIO LOVEBIRD COASTER",516,682.66
"84951b","S/4 BLACK LOVEBIRD COASTERS",9,46.20
"84951b","SET OF 4 BLACK LOVEBIRD COASTERS",1,5.06
"84951B","S/4 BLACK LOVEBIRD COASTERS",88,171.61
"84951B","SET OF 4 BLACK LOVEBIRD COASTERS",477,631.12
"84952A","CLEAR LOVE BIRD T-LIGHT HOLDER",148,392.53
"84952B","BLACK LOVE BIRD T-LIGHT HOLDER",364,615.49
"84952C","MIRROR LOVE BIRD T-LIGHT HOLDER",374,705.01
"84962","SET/3 COLOUR PAINTED KASHMIRI STOOL",3,179.85
"84963A","PINK PAINTED KASHMIRI CHAIR",23,763.35
"84963B","BLUE PAINTED KASHMIRI CHAIR",18,591.50
"84964A","PINK PAINTED KASHMIRI TABLE",11,630.00
"84964B","BLUE PAINTED KASHMIRI TABLE ",17,990.00
"84965A","PINK KASHMIRI COFFEE TABLE ",20,1050.00
"84965B","BLUE KASHMIRI COFFEE TABLE ",27,1359.95
"84966A","PINK KASHMIRI BOXED MIRROR",13,225.95
"84966B","BLUE KASHMIRI BOXED MIRROR",33,428.00
"84966C","GREEN KASHMIRI BOXED MIRROR",23,276.00
"84967A","PINK KASHMIRI OCCASIONAL TABLE",3,174.90
"84967B","BLUE KASHMIRI OCCASIONAL TABLE",24,1249.45
"84967C","GREEN KASHMIRI OCCASIONAL TABLE",9,419.85
"84968a","S/16 VINTAGE ROSE CUTLERY",1,25.49
"84968a","SET OF 16 VINTAGE ROSE CUTLERY",5,125.33
"84968A","S/16 VINTAGE ROSE CUTLERY",190,2511.24
"84968A","SET OF 16 VINTAGE ROSE CUTLERY",339,4026.84
"84968b","S/16 VINTAGE IVORY CUTLERY",1,25.49
"84968b","SET OF 16 VINTAGE IVORY CUTLERY",1,25.49
"84968B","S/16 VINTAGE IVORY CUTLERY",423,5617.66
"84968B","SET OF 16 VINTAGE IVORY CUTLERY",5,63.75
"84968C","S/16 VINTAGE PISTACHIO CUTLERY",262,3177.30
"84968C","SET OF 16 VINTAGE PISTACHIO CUTLERY",375,4451.95
"84968d","S/16 VINTAGE RED CUTLERY",1,25.49
"84968d","SET OF 16 VINTAGE RED CUTLERY",3,74.88
"84968D","S/16 VINTAGE RED CUTLERY",287,3349.76
"84968D","SET OF 16 VINTAGE RED CUTLERY",185,2043.95
"84968e","S/16 VINTAGE BLACK CUTLERY",4,101.96
"84968e","SET OF 16 VINTAGE BLACK CUTLERY",12,302.17
"84968E","S/16 VINTAGE BLACK CUTLERY",225,2585.45
"84968E","SET OF 16 VINTAGE BLACK CUTLERY",162,1905.03
"84968f","SET OF 16 VINTAGE SKY BLUE CUTLERY",2,50.98
"84968F","S/16 VINTAGE SKY BLUE CUTLERY",84,1092.42
"84968F","SET OF 16 VINTAGE SKY BLUE CUTLERY",214,2479.35
"84969","ASSORTED COLOUR SET 6 TEASPOONS",268,1232.02
"84969","BOX OF 6 ASSORTED COLOUR TEASPOONS",701,3047.91
"84970l","SINGLE HEART ZINC T-LIGHT HOLDER",233,487.14
"84970L","SINGLE HEART ZINC T-LIGHT HOLDER",17400,17177.04
"84970s","HANGING HEART ZINC T-LIGHT HOLDER",373,784.04
"84970S","HANGING HEART ZINC T-LIGHT HOLDER",26444,21794.26
"84971l","LARGE HEART FLOWERS HOOK   ",2,4.92
"84971L","LARGE HEART FLOWERS HOOK   ",585,723.51
"84971s","SMALL HEART FLOWERS HOOK ",6,9.96
"84971S","SMALL HEART FLOWERS HOOK ",6489,5493.31
"84972L","GIANT PINK HEART MEMO HOLDER",117,462.15
"84974","S/2 ZINC HEART DESIGN PLANTERS",89,879.55
"84975","HEART SHAPED MIRROR",1990,3266.40
"84976","RECTANGULAR SHAPED MIRROR",674,722.76
"84977","WIRE FLOWER T-LIGHT HOLDER",223,281.33
"84978","HANGING HEART JAR T-LIGHT HOLDER",21689,28475.96
"84984A","GREEN PEONY CUSHION COVER",255,403.75
"84984A","GREEN PEONY DES C/COVER",11,58.37
"84984B","RED PEONY CUSHION COVER ",309,480.85
"84984B","RED PEONY DES C/COVER ",13,60.45
"84984C","ORIENTAL BLUE C/COVER ",13,89.59
"84984C","ORIENTAL BLUE CUSHION COVER ",219,311.57
"84984D","ORIENTAL RED C/COVER ",27,165.11
"84984D","ORIENTAL RED CUSHION COVER ",132,239.80
"84985a","SET OF 72 GREEN PAPER DOILIES",10,29.80
"84985A","SET OF 72 GREEN PAPER DOILIES",644,1018.13
"84985b","SET OF 72 BLACK PAPER DOILIES ",1,2.98
"84985B","SET OF 72 BLACK PAPER DOILIES ",128,194.96
"84986b","SET OF 36 SILVER PAPER DOILIES",6,17.88
"84986B","SET OF 36 SILVER PAPER DOILIES",432,639.06
"84987","SET OF 36 TEATIME PAPER DOILIES",8138,11864.15
"84988","SET OF 72 PINK HEART PAPER DOILIES",8305,12913.24
"84989a","75 GREEN FAIRY CAKE CASES",74,150.57
"84989A","75 GREEN FAIRY CAKE CASES",2120,1093.42
"84989b","75 BLACK FAIRY CAKE CASES",10,12.80
"84989B","75 BLACK FAIRY CAKE CASES",1009,510.15
"84990","60 GOLD AND SILVER FAIRY CAKE CASES",4248,2062.19
"84991","60 TEATIME FAIRY CAKE CASES",54028,27041.21
"84992","72 SWEETHEART FAIRY CAKE CASES",34797,17259.85
"84993a","75 GREEN PETIT FOUR CASES",51,42.71
"84993A","75 GREEN PETIT FOUR CASES",1471,648.61
"84993b","75 BLACK PETIT FOUR CASES",20,16.99
"84993B","75 BLACK PETIT FOUR CASES",551,243.66
"84997a","CHILDRENS CUTLERY POLKADOT GREEN ",101,837.29
"84997a","GREEN 3 PIECE MINI DOTS CUTLERY SET",43,357.41
"84997a","GREEN 3 PIECE POLKADOT CUTLERY SET",34,287.08
"84997A","CHILDRENS CUTLERY POLKADOT GREEN ",1728,6864.42
"84997A","GREEN 3 PIECE MINI DOTS CUTLERY SET",1918,6948.65
"84997A","GREEN 3 PIECE POLKADOT CUTLERY SET",1539,5587.63
"84997b","CHILDRENS CUTLERY RETROSPOT RED ",273,2287.37
"84997b","RED 3 PIECE MINI DOTS CUTLERY SET",49,414.18
"84997b","RED 3 PIECE RETROSPOT CUTLERY SET",192,1621.02
"84997B","CHILDRENS CUTLERY RETROSPOT RED ",2634,10316.86
"84997B","RED 3 PIECE MINI DOTS CUTLERY SET",4205,15324.35
"84997B","RED 3 PIECE RETROSPOT CUTLERY SET",2418,8846.86
"84997c","BLUE 3 PIECE MINI DOTS CUTLERY SET",3,25.41
"84997c","BLUE 3 PIECE POLKADOT CUTLERY SET",85,717.25
"84997c","CHILDRENS CUTLERY POLKADOT BLUE",265,2216.21
"84997C","BLUE 3 PIECE MINI DOTS CUTLERY SET",3970,14438.97
"84997C","BLUE 3 PIECE POLKADOT CUTLERY SET",2246,8150.63
"84997C","CHILDRENS CUTLERY POLKADOT BLUE",2582,10150.76
"84997d","CHILDRENS CUTLERY POLKADOT PINK",285,2372.33
"84997d","PINK 3 PIECE MINI DOTS CUTLERY SET",1,7.62
"84997d","PINK 3 PIECE POLKADOT CUTLERY SET",85,717.43
"84997D","CHILDRENS CUTLERY POLKADOT PINK",3666,14493.64
"84997D","PINK 3 PIECE MINI DOTS CUTLERY SET",4353,15759.53
"84997D","PINK 3 PIECE POLKADOT CUTLERY SET",2634,9621.97
"85006","SET 4 NURSERY DES ROUND BOXES",3049,1289.31
"85007","SET OF 3 VINTAGE TEA TIME BOXES",143,399.62
"85008","SET OF 3 CONEY ISLAND OVAL BOXES",269,1058.72
"85014a","BLACK/BLUE DOTS RUFFLED UMBRELLA",10,127.20
"85014a","BLACK/BLUE POLKADOT UMBRELLA",23,288.92
"85014A","BLACK/BLUE DOTS RUFFLED UMBRELLA",2967,12363.97
"85014A","BLACK/BLUE POLKADOT UMBRELLA",1656,9433.61
"85014b","RED RETROSPOT UMBRELLA",33,414.82
"85014b","RED/WHITE DOTS RUFFLED UMBRELLA",6,76.60
"85014B","RED RETROSPOT UMBRELLA",2699,15376.30
"85014B","RED/WHITE DOTS RUFFLED UMBRELLA",3456,15400.28
"85014C","BLUE/BROWN DOTS RUFFLED UMBRELLA",547,2270.73
"85014D","PINK/BROWN DOTS RUFFLED UMBRELLA",1918,6664.45
"85015","SET OF 12  VINTAGE POSTCARD SET",2908,2750.00
"85016","SET OF 6 VINTAGE NOTELETS KIT",1679,2033.33
"85017A","ENVELOPE 50 ROMANTIC IMAGES",1157,792.15
"85017B","ENVELOPE 50 BLOSSOM IMAGES",2231,1390.39
"85017C","ENVELOPE 50 CURIOUS IMAGES",1087,719.67
"85018A","S/6 PAPER BOXES ROMANTIC IMAGES",15,63.75
"85018B","S/6 PAPER BOXES BLOSSOM IMAGES ",15,63.75
"85018C","S/6 PAPER BOXES CURIOUS IMAGES ",36,127.20
"85018D","YULETIDE IMAGES S/6 PAPER BOXES",787,969.90
"85019A","ROMANTIC IMAGES NOTEBOOK SET",647,915.04
"85019B","BLOSSOM  IMAGES NOTEBOOK SET",718,982.47
"85019C","CURIOUS  IMAGES NOTEBOOK SET",423,651.19
"85020","ROUND PINK HEART MIRROR",240,533.48
"85023A","CRYSTAL LARGE JEWELLED PHOTO FRAME",22,56.10
"85023B","EAU DE NILE JEWELLED PHOTOFRAME",293,682.35
"85023C","PINK LARGE JEWELED PHOTOFRAME",23,58.65
"85024A","CRYSTAL SMALL JEWELLED PHOTOFRAME",1,1.65
"85024B","EAU DE NILE JEWELLED PHOTOFRAME",218,330.90
"85024C","PINK SMALL JEWELLED PHOTOFRAME",99,163.35
"85025B","EAU DE NILE HEART SHAPE PHOTO FRAME",570,985.40
"85025C","PINK HEART SHAPE PHOTO FRAME",720,1285.91
"85026B","EAU DE NILE JEWELLED T-LIGHT HOLDER",300,367.55
"85027L","FRENCH CHATEAU LARGE PLATTER ",190,538.50
"85028L","FRENCH CHATEAU LARGE FRUIT BOWL ",271,654.01
"85028S","FRENCH CHATEAU SMALL FRUITBOWL",430,656.82
"85030","FRENCH CHATEAU OVAL PLATTER",211,531.45
"85031A","ROMANTIC IMAGES SCRAP BOOK SET",477,943.44
"85031B","BLOSSOM IMAGES SCRAP BOOK SET",496,896.09
"85031C","CURIOUS IMAGES SCRAP BOOK SET",481,1017.48
"85032A","ROMANTIC IMAGES GIFT WRAP SET",1441,1323.51
"85032B","BLOSSOM IMAGES GIFT WRAP SET",982,953.34
"85032C","CURIOUS IMAGES GIFT WRAP SET",886,946.59
"85032D","YULETIDE IMAGES GIFT WRAP SET",1148,1327.68
"85033G","SET/6 GOLD REINDEER T-LIGHT CANDLES",236,376.05
"85033S","SET/6 SILVER REINDEER T-LIGHTS",258,317.35
"85034a","3 GARDENIA MORRIS BOXED CANDLES",3,24.87
"85034A","3 GARDENIA MORRIS BOXED CANDLES",846,2364.82
"85034b","3 WHITE CHOC MORRIS BOXED CANDLES",1,8.29
"85034B","3 WHITE CHOC MORRIS BOXED CANDLES",1183,2606.64
"85034C","3 ROSE MORRIS BOXED CANDLES",1314,2604.15
"85035a","GARDENIA 3 WICK MORRIS BOXED CANDLE",3,25.41
"85035A","GARDENIA 3 WICK MORRIS BOXED CANDLE",646,2344.90
"85035b","CHOCOLATE 3 WICK MORRIS BOX CANDLE",6,50.82
"85035B","CHOCOLATE 3 WICK MORRIS BOX CANDLE",986,2539.29
"85035c","ROSE 3 WICK MORRIS BOX CANDLE",2,16.94
"85035C","ROSE 3 WICK MORRIS BOX CANDLE",1356,2693.85
"85036a","GARDENIA 1 WICK MORRIS BOXED CANDLE",2,16.58
"85036A","GARDENIA 1 WICK MORRIS BOXED CANDLE",619,2389.21
"85036b","CHOCOLATE 1 WICK MORRIS BOX CANDLE",2,16.94
"85036B","CHOCOLATE 1 WICK MORRIS BOX CANDLE",598,1530.16
"85036C","ROSE 1 WICK MORRIS BOXED CANDLE",878,1629.02
"85038","6 CHOCOLATE LOVE HEART T-LIGHTS",2778,5803.58
"85039a","SET/4 RED MINI ROSE CANDLE IN BOWL",64,212.45
"85039A","SET/4 RED MINI ROSE CANDLE IN BOWL",1448,1661.37
"85039b","S/4 IVORY MINI ROSE CANDLE IN BOWL",4,13.44
"85039B","S/4 IVORY MINI ROSE CANDLE IN BOWL",1653,2178.52
"85039C","S/4 BLACK MINI ROSE CANDLE IN BOWL",536,516.31
"85040a","S/4 PINK FLOWER CANDLES IN BOWL",51,169.75
"85040A","S/4 PINK FLOWER CANDLES IN BOWL",2065,3639.89
"85040b","SET/4 BLUE FLOWER CANDLES IN BOWL",7,23.52
"85040B","SET/4 BLUE FLOWER CANDLES IN BOWL",2451,3813.78
"85041","SET/4 PINK ORCHID CANDLES IN BOWL",1853,2489.87
"85042","ANTIQUE LILY FAIRY LIGHTS",2685,12234.56
"85043","RED HEART CANDY POP LIGHTS",1,4.95
"85044","RED REINDEER STRING OF 20 LIGHTS",149,801.40
"85045","GREEN CHRISTMAS TREE STRING 20LIGHT",471,2239.34
"85047","WHITE BEADED GARLAND STRING 20LIGHT",1051,6664.33
"85048","15CM CHRISTMAS GLASS BALL 20 LIGHTS",2685,21201.13
"85049a","TRADITIONAL CHRISTMAS RIBBONS",434,1451.24
"85049A","TRADITIONAL CHRISTMAS RIBBONS",6151,8114.78
"85049b","LUSH GREENS RIBBONS",4,9.94
"85049B","LUSH GREENS RIBBONS",2126,2653.30
"85049c","ROMANTIC PINKS RIBBONS ",1,2.46
"85049C","ROMANTIC PINKS RIBBONS ",2981,3746.29
"85049d","BRIGHT BLUES RIBBONS ",2,4.92
"85049D","BRIGHT BLUES RIBBONS ",2330,2922.96
"85049e","SCANDINAVIAN REDS RIBBONS",268,893.25
"85049E","SCANDINAVIAN REDS RIBBONS",6316,8453.47
"85049F","BABY BOOM RIBBONS ",2110,2634.00
"85049g","CHOCOLATE BOX RIBBONS ",115,281.44
"85049G","CHOCOLATE BOX RIBBONS ",3829,4718.62
"85049H","URBAN BLACK RIBBONS ",2066,2067.18
"85050","FRENCH ENAMEL SOAP DISH WITH LID",48,100.80
"85053","FRENCH ENAMEL CANDLEHOLDER",2032,4363.28
"85054","FRENCH ENAMEL POT W LID",916,2495.02
"85055","FRENCH ENAMEL UTENSIL HOLDER",359,1442.94
"85059","FRENCH ENAMEL WATER BASIN",701,2399.89
"85060","WOOD FAN WITH FLOWER DESIGN",1448,1745.62
"85061W","WHITE JEWELLED HEART DECORATION",6306,5451.49
"85062","PEARL CRYSTAL PUMPKIN T-LIGHT HLDR",3886,6363.28
"85063","CREAM SWEETHEART MAGAZINE RACK",308,5426.74
"85064","CREAM SWEETHEART LETTER RACK",1595,7493.06
"85065","CREAM SWEETHEART TRAYS",620,7524.44
"85066","CREAM SWEETHEART MINI CHEST",3091,38599.98
"85067","CREAM SWEETHEART WALL CABINET",496,8201.99
"85068","CREAM SWEETHEART SHELF + HOOKS",960,6647.24
"85069","CREAM SWEETHEART DOUBLE SHELF",3,50.85
"85070","ANT WHITE SWEETHEART TABLE W 3 DRAW",3,320.00
"85071A","BLUE CHARLIE+LOLA PERSONAL DOORSIGN",1907,1415.69
"85071B","RED CHARLIE+LOLA PERSONAL DOORSIGN",2340,1316.48
"85071C","CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",1285,837.23
"85071D","CHARLIE+LOLA MY ROOM DOOR SIGN",884,548.86
"85072","OCCASIONS GIFT CARD ASSORTMENT",120,66.00
"85077","KISSING REINDEER TABLE RUNNER",1,5.95
"85078","SCANDINAVIAN 3 HEARTS NAPKIN RING",2258,1052.02
"85079","EMBROIDERED REINDEER DECORATION",23,32.25
"85080","PADDED RED HEART DECORATION",113,55.76
"85081","PADDED HOLLY CHRISTMAS DECORATION ",104,46.17
"85083","KISS REINDEER SCANDINAVIAN STOCKING",5,12.75
"85084","HOLLY TOP CHRISTMAS STOCKING",682,681.40
"85086A","CANDY SPOT HEART DECORATION",587,568.73
"85087","CANDY SPOT CUSHION COVER",420,1392.64
"85088","CANDY SPOT HAND BAG",347,723.85
"85089","CANDY SPOT BUNNY",99,317.54
"85090","CANDY SPOT APRON",106,559.28
"85091","CANDY SPOT BREAD BASKETS",343,548.81
"85092","CANDY SPOT TEA COSY",391,622.57
"85093","CANDY SPOT EGG WARMER HARE",1361,1091.21
"85094","CANDY SPOT EGG WARMER RABBIT",760,360.99
"85095","THREE CANVAS LUGGAGE TAGS",174,259.09
"85096","HILDA CANDY SPOT RABBIT",164,676.92
"85097B","BLUE ROCKING SINGING CANARY",106,417.17
"85098B","BLUE FLYING SINGING CANARY",366,1456.94
"85099b","JUMBO BAG RED RETROSPOT",419,2111.64
"85099B","JUMBO BAG RED RETROSPOT",77280,145961.83
"85099B","JUMBO BAG RED WHITE SPOTTY ",14060,25043.62
"85099B","RED RETROSPOT JUMBO BAG ",5417,9563.89
"85099c","JUMBO  BAG BAROQUE BLACK WHITE",17,85.17
"85099C","JUMBO  BAG BAROQUE BLACK WHITE",30640,59057.61
"85099f","JUMBO BAG STRAWBERRY",201,1016.36
"85099F","JUMBO BAG STRAWBERRY",36860,67985.77
"85103"," SILVER T-LIGHT SETTING",43,321.87
"85103","SILVER T-LIGHT SETTING",274,1831.56
"85104","SILVER GLASS T-LIGHT SET",351,1024.49
"85106","CUT GLASS HEXAGON T-LIGHT HOLDER",1190,2271.24
"85107","CUT GLASS T-LIGHT HOLDER OCTAGON",1203,2274.79
"85109","PINK BOUDOIR T-LIGHT HOLDER",4211,475.43
"85110","BLACK SILVER FLOWER T-LIGHT HOLDER",11520,1138.04
"85111","SILVER GLITTER FLOWER VOTIVE HOLDER",2907,954.15
"85112","S/3 TEAR DROP CUT GLASS DECORATION",465,412.77
"85113","POLKA DOT PISTACHIO PAIL",285,591.66
"85114a","BLACK ENCHANTED FOREST PLACEMAT",56,185.64
"85114A","BLACK ENCHANTED FOREST PLACEMAT",1270,2110.90
"85114b","IVORY ENCHANTED FOREST PLACEMAT",56,186.76
"85114B","IVORY ENCHANTED FOREST PLACEMAT",2017,3618.05
"85114c","RED ENCHANTED FOREST PLACEMAT",185,612.64
"85114C","RED ENCHANTED FOREST PLACEMAT",1179,2263.06
"85115B","S/4 BLACK DISCO PARTITION PANEL",6,37.62
"85116","BLACK CANDELABRA T-LIGHT HOLDER",1817,2206.24
"85117","NIGHTINGALE COATHOOK WHITE",347,594.32
"85118","HEART T-LIGHT HOLDER",2054,1133.68
"85119","WATERING CAN SINGLE HOOK PISTACHIO",413,567.48
"85121B","RETRO LAUNDRY TUB PINK",86,936.74
"85121C","RETRO LAUNDRY TUB PISTACHIO",98,918.91
"85123a","WHITE HANGING HEART T-LIGHT HOLDER",516,3444.02
"85123A","CREAM HANGING HEART T-LIGHT HOLDER",61,178.51
"85123A","WHITE HANGING HEART T-LIGHT HOLDER",94142,257546.20
"85123b","ZINC HANGING HEART T-LITE HLDR",1,6.04
"85124a","PINK JUICY FRUIT PHOTO FRAME",10,50.60
"85124A","PINK JUICY FRUIT PHOTO FRAME",377,1037.13
"85124b","BLUE JUICY FRUIT PHOTO FRAME",2,10.23
"85124B","BLUE JUICY FRUIT PHOTO FRAME",353,938.47
"85124c","GREEN JUICY FRUIT PHOTO FRAME",3,15.18
